pipeline,company,question,ground_truth,generated_answer,hit_rate,precision@k,recall@k,mrr,context_recall,semantic_similarity,answer_correctness,retrieval_time
Traditional RAG,HDFC Bank,What services are provided through Digital Banking Units?,"Digital Banking Units provide secure digital banking, account services, transactions and customer support through technology-enabled channels.","The Digital Banking Units (DBUs) provide loans and other services to customers, and also raise deposits from customers.",1.0,0.4,1.0,0.3333333333333333,0.6817674160003662,0.7087757587432861,0.0,0.12427850003587082
Traditional RAG,HDFC Bank,Why did HDFC Bank expand construction finance?,The bank expanded construction finance to strengthen its commercial banking business and meet growing financing needs after the merger.,I don't have enough information.,0.0,0.0,0.0,0.0,0.46909605264663695,0.055972468107938766,0.0,0.08268560003489256
Traditional RAG,HDFC Bank,What is HDFC Sky's vision?,HDFC Sky aims to empower every Indian to invest wisely through a digital-first and technology-driven investment platform.,"HDFC Sky is committed to fostering a digital-first, tech-powered platform that empowers every Indian citizen to invest wisely and confidently, with the motto 'Make Money Matter'.",1.0,0.2,1.0,1.0,0.6216244220733642,0.9211801290512085,1.0,0.12485399999422953
Traditional RAG,HDFC Bank,How does HDFC Bank position itself for business customers?,"HDFC Bank positions itself as a one-stop financial partner offering lending, deposits, payments, trade finance, cash management and corporate banking solutions.","HDFC Bank's Retail business serves a wide and diverse customer base, including small businesses such as Kirana stores. The Bank offers a comprehensive suite of products and services to these customers, with a focus on understanding and meeting their unique needs. Additionally, the Bank endeavours to leverage its strong relationships with existing customers to increase wallet share, which includes deepening share within existing products and designing effective solutions across their needs.",0.0,0.0,0.0,0.0,0.6573110818862915,0.7044256329536438,0.0,0.30565809999825433
Hybrid RAG,HDFC Bank,What is HDFC Bank's purpose?,"HDFC Bank exists to help every Indian make better money choices, today and tomorrow.","HDFC Bank's purpose is to serve as a one-stop solution for the extensive business requirements of its customers. The bank aims to provide a wide range of services, including loans, deposits, payments, collections, tax solutions, trade finance, cash management solutions, and corporate cards. Additionally, the bank is committed to nation-building and job creation, and emphasizes strong governance, ethical practices, transparency, and risk management.",1.0,0.4,1.0,0.3333333333333333,0.6578746438026428,0.7257423996925354,0.0,1.7531070000259206
Hybrid RAG,HDFC Bank,What is HDFC Bank's overall business strategy?,"The bank aims to build long-term customer relationships through digital innovation, financial inclusion, operational excellence and sustainable growth.","HDFC Bank's overall business strategy appears to focus on leveraging its strong relationships with existing customers to increase wallet share, deepening share within existing products, and designing effective solutions across their needs. The Bank also aims to grow its Government, Institutional, and Start-Up businesses, with key pillars of growth including market leadership in agency business. Additionally, the Bank prioritizes business continuity planning, managing catastrophic events, and maintaining a well-diversified book with a strong credit rating. However, the context does not provide a comprehensive overview of the Bank's overall strategy, and some information, such as specific financial goals or risk management strategies, is unavailable.",0.0,0.0,0.0,0.0,0.4000129997730255,0.5276017189025879,0.0,0.4547840000013821
Hybrid RAG,HDFC Bank,What are Digital Banking Units (DBUs)?,"Digital Banking Units provide efficient, secure and paperless banking services using digital technologies.","Digital Banking Units (DBUs) are part of the digital banking segment of HDFC Bank Limited. They serve retail customers through the Bank's digital network and other online channels, raising deposits from customers and providing loans and other services to customers. DBUs are also mentioned as a format of branch, along with full service physical branches, Smart Banking Lobbies, and self-service kiosks, used by the Bank to expand its presence in identified locations.",0.0,0.0,0.0,0.0,0.5862025260925293,0.6378740668296814,0.0,0.7283217000076547
Hybrid RAG,HDFC Bank,What was HDFC Bank's focus in corporate banking during FY25?,"The bank increased its focus on construction finance, commercial real estate financing and lease rental discounting while serving as a one-stop solution for business customers.","According to the report context, HDFC Bank's focus in corporate banking during FY25 was to provide construction finance in residential, commercial space, as well as lease rental discounting to leading developers.",0.0,0.0,0.0,0.0,0.38750208020210264,0.5788020491600037,0.0,0.44280720001552254
Hybrid RAG,HDFC Bank,What is HDFC Sky?,HDFC Sky is the bank's digital investment platform that offers investment and trading services supported by digital learning initiatives.,"HDFC Sky is an initiative that offers a wide range of investment and trading options, catering to various experience levels. It also provides video-driven content across multiple digital channels through the Sky Learn initiative, aiming to promote financial literacy and core concepts of investing and trading.",1.0,0.2,1.0,1.0,0.5636712968349457,0.9041960835456848,1.0,0.479461100010667
Hybrid RAG,HDFC Bank,What is the objective of Sky Learn?,Sky Learn aims to improve financial literacy by providing educational content about investing and trading through digital channels.,"The objective of Sky Learn is to demystify financial jargon and promote literacy in core concepts of investing and trading, by providing video-driven content across multiple digital channels.",1.0,0.2,1.0,1.0,0.33301213532686236,0.9137284755706787,1.0,0.605763699975796
Hybrid RAG,HDFC Bank,Where does HDFC Bank have an international presence?,"HDFC Bank has international branches in Hong Kong, Bahrain, Dubai International Financial Centre, Singapore and GIFT IFSC.","HDFC Bank has an international presence in five locations: 

1. Hong Kong
2. Bahrain
3. Dubai International Financial Centre (DIFC)
4. Singapore
5. An IFSC (location not specified, but mentioned as part of international operations)

These international branches cater to Non-Resident Indian (NRI) clients and provide tailored services to meet their specific needs.",1.0,0.4,1.0,1.0,0.6743297874927521,0.8542395234107971,1.0,0.5691152000217699
Hybrid RAG,HDFC Bank,How did the merger with HDFC Limited influence retail banking?,The merger strengthened customer relationships by increasing savings account penetration among home loan customers and expanding cross-selling opportunities.,"The merger with HDFC Limited has strengthened HDFC Bank's position in retail banking, particularly in the mortgage loan business. The merger combined HDFC Limited's segment expertise with HDFC Bank's extensive branch network and technology platforms, creating a fresh pathway for future growth. The Bank has increased its focus on construction finance and lease rental discounting, and aims to serve as a one-stop solution for customers' business requirements. However, the news sentiment is neutral, and there is no information available on potential risks or weaknesses associated with the merger. The stock data shows a close price of 816.0999755859375 and a volume of 2454429, but it is unclear how this relates to the merger's influence on retail banking. Overall, the merger appears to have had a positive influence on HDFC Bank's retail banking business, but more information would be needed to fully assess its impact.",0.0,0.0,0.0,0.0,0.45788792967796327,0.5722683668136597,0.0,0.5606339999940246
Hybrid RAG,HDFC Bank,How is HDFC Bank improving digital banking?,"The bank is expanding digital banking units, investing in digital platforms and offering secure paperless banking services.","HDFC Bank is improving digital banking by digitalising customer touchpoints, document collection processes, and sales services. The Bank has enabled self-service digital capabilities across all branches and has connected to direct systems cohesively. Additionally, the Bank has migrated its Core Banking System to a next-gen engineered platform, which has delivered enhanced performance and agility. The 'Shift Right' strategy has also helped the Bank to build a customer-aligned modular and API-first digital foundation. Furthermore, the Bank is exploring new opportunities to increase digital transactions and is committed to promoting financial inclusion through the expansion of digital payment infrastructure.",1.0,0.2,1.0,0.25,0.6029798567295075,0.675973117351532,0.0,0.7182676999946125
Hybrid RAG,HDFC Bank,What is Project NAMAN?,Project NAMAN is HDFC Bank's initiative with the Indian Army to support veterans by improving access to government and banking services.,"Project NAMAN is an initiative launched in partnership with the Indian Army and CSC e-Governance, which provides comprehensive service delivery through Common Service Centres operated by veterans and their families. The services offered include pension-related support, Government-to-Citizen (G2C) services, and Business-to-Consumer (B2C) services. The project has been renewed in FY 2024-25 and now spans 26 Directorate of Indian Army Veterans (DIAV) locations.",1.0,0.4,1.0,1.0,0.5043272495269775,0.7841634750366211,0.0,0.5904259000089951
Hybrid RAG,HDFC Bank,What is the goal of HDFC Bank's business banking segment?,The goal is to provide a comprehensive one-stop solution for the business banking needs of customers.,"The goal of HDFC Bank is to serve as a one-stop solution for the extensive business requirements of its customers. However, the specific goal of the business banking segment is not explicitly stated in the provided context. The context only mentions the goal of the bank in general and provides information about the Wholesale Banking business, which caters to a wide spectrum of clientele, including Large Corporates, Multinational Corporations, Government, Public Sector Enterprises, Emerging Corporates, and Business Banking/SMEs. 

Therefore, I don't have enough information to provide a specific answer about the goal of HDFC Bank's business banking segment.",0.0,0.0,0.0,0.0,0.38444437384605407,0.5691782236099243,0.0,0.4868294000043534
Hybrid RAG,HDFC Bank,What new opportunities emerged after the HDFC Limited merger?,"The merger expanded opportunities in housing finance, construction finance and deeper customer engagement.","After the HDFC Limited merger, new opportunities emerged for the Bank to capitalize on growth opportunities in the market. The merger brought together HDFC Limited's home loan expertise with HDFC Bank's extensive scale and reach, strengthening the Bank's position as a leading financial institution. Specifically, the Bank can now offer comprehensive financial solutions through its 14 subsidiaries, including key subsidiaries, to deepen and lengthen customer relationships. Additionally, the Bank has initiated engagement with the Start-Ups ecosystem through initiatives like HDFC Tech Innovators 2024, creating mutual opportunities for business, platform sharing, financing, and more.",0.0,0.0,0.0,0.0,0.42137203812599183,0.5120954513549805,0.0,0.7585519999847747
Hybrid RAG,HDFC Bank,Which customer segment received increased attention in FY25?,The bank increased its focus on self-employed customers while strengthening retail and business banking.,"The report context does not specifically mention a particular customer segment that received increased attention in FY25. It mentions a customer-centric approach, prioritizing excellent service, and providing personalized experiences, but it does not provide information on a specific customer segment. 

Therefore, I don't have enough information to answer the question.",0.0,0.0,0.0,0.0,0.2644973278045654,0.30309921503067017,0.0,0.5179626999888569
Hybrid RAG,HDFC Bank,How does HDFC Bank promote investment awareness?,"Through HDFC Sky and the Sky Learn initiative, the bank provides digital educational resources for investors.","HDFC Bank promotes investment awareness through over 100 Investor Education Initiatives, which include having fund managers as expert guest speakers. Additionally, HDFC Sky has launched the Sky Learn initiative, providing video-driven content across multiple digital channels to demystify financial jargon and promote literacy in core concepts of investing and trading.",1.0,0.2,1.0,0.25,0.6146889448165893,0.8517789244651794,1.0,0.4685007000225596
Hybrid RAG,HDFC Bank,What is HDFC Bank's objective regarding customer relationships?,The bank aims to build deeper and long-term banking relationships with customers.,"HDFC Bank's objective regarding customer relationships is to build lasting relationships with customers by anticipating their needs and delivering innovative, personalized financial solutions that foster trust, enhance satisfaction, and provide a customer-centric experience. The Bank aims to achieve this by seeking customer feedback and continuously enhancing customer experience, with customer focus being one of its core values.",0.0,0.0,0.0,0.0,0.4191602408885956,0.6176959872245789,0.0,0.6106447000056505
Hybrid RAG,HDFC Bank,How does HDFC Bank support paperless banking?,The bank uses Digital Banking Units and technology-driven digital services to provide secure paperless banking.,"HDFC Bank supports paperless banking through its DBUs (Digital Banking Units) across various locations in India, which provide efficient, secure, and paperless banking services. Additionally, the Bank has enabled self-service digital capabilities across all its branches and is digitalizing customer touchpoints, document collection processes, and sales services.",0.0,0.0,0.0,0.0,0.4191361665725708,0.6846834421157837,0.0,0.513992199965287
Hybrid RAG,HDFC Bank,What services are provided through Digital Banking Units?,"Digital Banking Units provide secure digital banking, account services, transactions and customer support through technology-enabled channels.",The Digital Banking Units (DBUs) of HDFC Bank Limited provide services such as raising deposits from customers and providing loans and other services to customers through the Bank's digital network and other online channels.,1.0,0.4,1.0,1.0,0.6225109994411469,0.5990756154060364,0.0,0.5006054999539629
Hybrid RAG,HDFC Bank,Why did HDFC Bank expand construction finance?,The bank expanded construction finance to strengthen its commercial banking business and meet growing financing needs after the merger.,"HDFC Bank expanded construction finance as part of its goal to serve as a one-stop solution for the extensive business requirements of its customers. The bank increased its focus on providing construction finance in residential, commercial space, as well as lease rental discounting to leading developers in FY25, after inheriting the realty finance business from HDFC Limited post-merger.",0.0,0.0,0.0,0.0,0.35799104571342466,0.6892400979995728,0.0,0.45641089999116957
Hybrid RAG,HDFC Bank,What is HDFC Sky's vision?,HDFC Sky aims to empower every Indian to invest wisely through a digital-first and technology-driven investment platform.,"HDFC Sky's vision is to foster a digital-first, tech-powered platform that empowers every Indian citizen to invest wisely and confidently, with the motto 'Make Money Matter'.",1.0,0.2,1.0,1.0,0.5512898623943329,0.9198427200317383,1.0,0.7434439000207931
Hybrid RAG,HDFC Bank,How does HDFC Bank position itself for business customers?,"HDFC Bank positions itself as a one-stop financial partner offering lending, deposits, payments, trade finance, cash management and corporate banking solutions.","HDFC Bank positions itself for business customers through its Wholesale Banking and Retail Banking services. The Retail business serves a wide and diverse customer base, including small businesses such as Kirana stores and Self Help Groups (SHGs). The Bank offers a comprehensive suite of products and services, including Savings and Current accounts, to meet the unique needs of these customers. 

The information on specific strengths and risks for business customers is unavailable in the provided context.",0.0,0.0,0.0,0.0,0.5518597096204758,0.7107455730438232,0.0,0.48923359997570515
Graph RAG,HDFC Bank,What is HDFC Bank's purpose?,"HDFC Bank exists to help every Indian make better money choices, today and tomorrow.","HDFC Bank's purpose appears to be multifaceted. The bank operates in the Real Estate Investment Trust (Reit) sector and has a focus on serving middle-income families, suggesting a commitment to providing financial services to this demographic. Additionally, the bank has a specific focus on the timber industry, indicating a specialized approach to catering to the financial needs of this sector. In terms of products, HDFC Bank offers term life insurance, which further expands its range of financial services. Overall, HDFC Bank's purpose seems to be centered around providing a range of financial services to specific sectors and demographics, with a goal of expanding its reach, as evident from its expansion to Chicago.",0.0,0.0,0.0,0.0,0.5971857735088894,0.655042827129364,0.0,1.6367366000195034
Graph RAG,HDFC Bank,What is HDFC Bank's overall business strategy?,"The bank aims to build long-term customer relationships through digital innovation, financial inclusion, operational excellence and sustainable growth.","HDFC Bank's overall business strategy appears to be focused on serving the needs of middle-income families, with a specific emphasis on the timber industry. This suggests that the bank is targeting a particular demographic and sector, likely offering financial products and services tailored to the requirements of these groups. By concentrating on middle-income families and the timber industry, HDFC Bank may be aiming to establish itself as a specialized provider of financial solutions for these customers.",0.0,0.0,0.0,0.0,0.34189246594905853,0.4527828097343445,0.0,0.040460199990775436
Graph RAG,HDFC Bank,What are Digital Banking Units (DBUs)?,"Digital Banking Units provide efficient, secure and paperless banking services using digital technologies.",Information unavailable in graph.,0.0,0.0,0.0,0.0,0.27840597714696613,-0.009460706263780594,0.0,0.03544399997917935
Graph RAG,HDFC Bank,What was HDFC Bank's focus in corporate banking during FY25?,"The bank increased its focus on construction finance, commercial real estate financing and lease rental discounting while serving as a one-stop solution for business customers.",HDFC Bank's focus was on two key areas: Timber and Middle-Income Families. This suggests that the bank was concentrating its efforts on serving the financial needs of middle-income families and the timber industry.,0.0,0.0,0.0,0.0,0.38045404851436615,0.44774648547172546,0.0,0.16503560001729056
Graph RAG,HDFC Bank,What is HDFC Sky?,HDFC Sky is the bank's digital investment platform that offers investment and trading services supported by digital learning initiatives.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.5756570781980243,-0.061416324228048325,0.0,0.02259140001842752
Graph RAG,HDFC Bank,What is the objective of Sky Learn?,Sky Learn aims to improve financial literacy by providing educational content about investing and trading through digital channels.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.22911261447838374,0.024833446368575096,0.0,0.04321860003983602
Graph RAG,HDFC Bank,Where does HDFC Bank have an international presence?,"HDFC Bank has international branches in Hong Kong, Bahrain, Dubai International Financial Centre, Singapore and GIFT IFSC.","Information unavailable in graph. 

The graph relationships provided only mention Chicago, which is a city in the United States, but it does not explicitly state that HDFC Bank has an international presence beyond this. Since Chicago is within the United States, and HDFC Bank is likely an Indian bank, the presence in Chicago could be considered international, but this is not explicitly confirmed by the provided relationships. However, based on the available information, it can be inferred that HDFC Bank has a presence in the United States, specifically in Chicago, where it operates and expands to.",0.0,0.0,0.0,0.0,0.585060349532536,0.5911387205123901,0.0,0.01785909995669499
Graph RAG,HDFC Bank,How did the merger with HDFC Limited influence retail banking?,The merger strengthened customer relationships by increasing savings account penetration among home loan customers and expanding cross-selling opportunities.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.0,-0.058107852935791016,0.0,0.036423099983949214
Graph RAG,HDFC Bank,How is HDFC Bank improving digital banking?,"The bank is expanding digital banking units, investing in digital platforms and offering secure paperless banking services.",Information unavailable in graph.,0.0,0.0,0.0,0.0,0.3076169022492,-0.020572852343320847,0.0,0.012118400016333908
Graph RAG,HDFC Bank,What is Project NAMAN?,Project NAMAN is HDFC Bank's initiative with the Indian Army to support veterans by improving access to government and banking services.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.3866022995540074,-0.06998919695615768,0.0,0.048612000013235956
Graph RAG,HDFC Bank,What is the goal of HDFC Bank's business banking segment?,The goal is to provide a comprehensive one-stop solution for the business banking needs of customers.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.23307126547609056,-0.05074373260140419,0.0,0.019376799988094717
Graph RAG,HDFC Bank,What new opportunities emerged after the HDFC Limited merger?,"The merger expanded opportunities in housing finance, construction finance and deeper customer engagement.",Information unavailable in graph.,0.0,0.0,0.0,0.0,0.0,-0.045112792402505875,0.0,0.04703399998834357
Graph RAG,HDFC Bank,Which customer segment received increased attention in FY25?,The bank increased its focus on self-employed customers while strengthening retail and business banking.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.24892800833497727,-0.06697563827037811,0.0,0.02859380003064871
Graph RAG,HDFC Bank,How does HDFC Bank promote investment awareness?,"Through HDFC Sky and the Sky Learn initiative, the bank provides digital educational resources for investors.",Information unavailable in graph.,0.0,0.0,0.0,0.0,0.0,-0.03307215869426727,0.0,0.01573480002116412
Graph RAG,HDFC Bank,What is HDFC Bank's objective regarding customer relationships?,The bank aims to build deeper and long-term banking relationships with customers.,"HDFC Bank's objective regarding customer relationships appears to be focused on serving middle-income families, as indicated by their focus on this demographic. This suggests that the bank aims to cater to the financial needs of this specific group, potentially offering tailored products and services to meet their requirements. Additionally, the bank's expansion into new areas, such as Chicago, may also be driven by a desire to establish and strengthen relationships with customers in these regions. However, the bank's focus on timber and its operation in Real Estate Investment Trust (Reit) may not be directly related to customer relationships, but rather to its investment or business strategies.",0.0,0.0,0.0,0.0,0.2874011205775397,0.5235990285873413,0.0,0.022347799967974424
Graph RAG,HDFC Bank,How does HDFC Bank support paperless banking?,The bank uses Digital Banking Units and technology-driven digital services to provide secure paperless banking.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.3005567363330296,0.001568090170621872,0.0,0.015389200008939952
Graph RAG,HDFC Bank,What services are provided through Digital Banking Units?,"Digital Banking Units provide secure digital banking, account services, transactions and customer support through technology-enabled channels.",Information unavailable in graph.,0.0,0.0,0.0,0.0,0.0,-0.036548420786857605,0.0,0.011019400029908866
Graph RAG,HDFC Bank,Why did HDFC Bank expand construction finance?,The bank expanded construction finance to strengthen its commercial banking business and meet growing financing needs after the merger.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.29327007489545004,-0.04616346210241318,0.0,0.031998799997381866
Graph RAG,HDFC Bank,What is HDFC Sky's vision?,HDFC Sky aims to empower every Indian to invest wisely through a digital-first and technology-driven investment platform.,Information unavailable in graph.,0.0,0.0,0.0,0.0,0.4534584496702467,-0.08349161595106125,0.0,0.03502660000231117
Graph RAG,HDFC Bank,How does HDFC Bank position itself for business customers?,"HDFC Bank positions itself as a one-stop financial partner offering lending, deposits, payments, trade finance, cash management and corporate banking solutions.","Information unavailable in graph. The provided graph relationships primarily focus on HDFC Bank's operational areas, such as real estate investment trusts and locations like Chicago, as well as its focus on specific sectors like timber and middle-income families. However, there is no direct information available regarding how HDFC Bank positions itself for business customers.",0.0,0.0,0.0,0.0,0.6218265976224627,0.6175976991653442,0.0,0.044804400007706136
Hybrid GraphRAG,HDFC Bank,What is HDFC Bank's purpose?,"HDFC Bank exists to help every Indian make better money choices, today and tomorrow.","HDFC Bank's purpose is to serve as a one-stop solution for the extensive business requirements of its customers, with a focus on providing construction finance, lease rental discounting, and other banking services, while also prioritizing sustainable and responsible financing, customer satisfaction, and economic performance. Additionally, the bank is committed to nation-building, job creation, and maintaining the highest level of governance, transparency, and risk management.",1.0,0.4,1.0,0.3333333333333333,0.6578746438026428,0.7054717540740967,0.0,0.4965819999924861
Hybrid GraphRAG,HDFC Bank,What is HDFC Bank's overall business strategy?,"The bank aims to build long-term customer relationships through digital innovation, financial inclusion, operational excellence and sustainable growth.","HDFC Bank's overall business strategy, as per the Document Context, involves catering to a wide spectrum of clientele, including Large Corporates, Multinational Corporations, Government, Public Sector Enterprises, Emerging Corporates, and Business Banking/SMEs, through its Wholesale Banking business. The Bank extends diverse and comprehensive end-to-end financial products and services. Additionally, it focuses on leveraging its strong relationships with existing customers to increase wallet share and designing effective solutions across their needs. The Bank also prioritizes business continuity planning, managing continuity of critical business operations, and accelerated recovery of services after a disaster. As per the Graph Context, HDFC Bank focuses on Timber and Middle-Income Families, which may be a part of its overall business strategy, but the exact details are not provided in the given context.",0.0,0.0,0.0,0.0,0.4000129997730255,0.49140623211860657,0.0,1.0455593999940902
Hybrid GraphRAG,HDFC Bank,What are Digital Banking Units (DBUs)?,"Digital Banking Units provide efficient, secure and paperless banking services using digital technologies.",Company not found in question.,0.0,0.0,0.0,0.0,0.0,0.09430775791406631,0.0,0.0
